"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"46","46","2019-01-21","@","MIL","L","106","116","41","99",".414","14","40",".350","10","17",".588","11","48","24","7","11","11","19","","42","91",".462","12","32",".375","20","22",".909","8","51","21","9","7","14","19","101.6","111.2","104.3",".172",".404",".498","48.5","58.5","6.7","18.6","",".485","9.4","20.4",".101","",".527","12.2","82.2",".220"
"47","47","2019-01-22","","LAC","W","106","98","38","81",".469","10","34",".294","20","29",".690","9","48","21","5","6","11","25","","33","91",".363","10","36",".278","22","29",".759","14","41","19","4","4","7","26","114.4","105.8","92.7",".358",".420",".565","53.9","55.3","5.4","10.9","",".531","10.5","25.0",".247","",".418","6.3","73.6",".242"
"48","48","2019-01-25","","DET","W","106","101","37","81",".457","14","36",".389","18","30",".600","9","43","24","8","6","9","25","","35","85",".412","12","38",".316","19","25",".760","13","46","22","6","0","12","26","115.1","109.7","92.1",".370",".444",".563","48.3","64.9","8.7","12.8","",".543","8.7","21.4",".222","",".482","11.1","72.3",".224"
"49","49","2019-01-27","","TOR","L","120","123","43","88",".489","11","36",".306","23","34",".676","7","43","25","5","2","11","29","","37","83",".446","17","34",".500","32","38",".842","8","44","24","6","5","7","27","119.4","122.4","100.5",".386",".409",".583","49.4","58.1","5.0","4.1","",".551","9.7","16.3",".261","",".548","6.6","81.8",".386"
"50","50","2019-01-30","@","NYK","W","114","90","45","84",".536","15","38",".395","9","11",".818","7","49","31","4","1","18","19","","32","78",".410","6","26",".231","20","28",".714","5","34","16","10","5","12","15","117.4","92.7","97.1",".131",".452",".642","59.0","68.9","4.1","1.9","",".625","16.8","19.4",".107","",".449","11.7","89.4",".256"
"51","51","2019-01-31","@","DET","L","89","93","36","88",".409","7","25",".280","10","14",".714","11","44","18","2","5","10","21","","33","86",".384","9","33",".273","18","23",".783","15","52","21","5","5","11","24","99.3","103.7","89.7",".159",".284",".473","45.8","50.0","2.2","9.4","",".449","9.6","22.9",".114","",".436","10.3","68.8",".209"
"52","52","2019-02-02","@","CLE","W","111","98","40","84",".476","16","39",".410","15","19",".789","9","50","20","2","4","13","26","","34","85",".400","4","23",".174","26","33",".788","11","44","20","7","2","6","22","118.6","104.7","93.6",".226",".464",".601","53.2","50.0","2.1","6.5","",".571","12.3","21.4",".179","",".424","5.7","78.8",".306"
"53","53","2019-02-06","","CHO","W","99","93","38","94",".404","11","36",".306","12","17",".706","15","57","25","8","5","13","12","","36","89",".404","9","37",".243","12","17",".706","8","47","17","9","9","14","17","100.1","94.0","98.9",".181",".383",".488","54.8","65.8","8.1","9.6","",".463","11.4","27.8",".128","",".455","12.7","84.0",".135"
"54","54","2019-02-08","","MIL","L","107","122","36","87",".414","22","53",".415","13","20",".650","9","37","23","6","5","14","15","","51","93",".548","10","36",".278","10","12",".833","10","51","25","4","5","12","21","108.5","123.8","98.6",".230",".609",".558","42.0","63.9","6.1","8.8","",".540","12.8","18.0",".149","",".602","10.9","73.7",".108"
"55","55","2019-02-10","","POR","W","102","101","36","87",".414","12","37",".324","18","23",".783","11","39","20","6","3","15","20","","42","86",".488","9","29",".310","8","14",".571","12","48","24","7","4","19","26","104.7","103.6","97.5",".264",".425",".525","44.8","55.6","6.2","5.3","",".483","13.4","23.4",".207","",".541","17.1","70.0",".093"
