"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"34","34","2018-12-29","@","PHO","W","122","118","42","76",".553","18","35",".514","20","26",".769","10","40","31","10","3","21","20","","49","91",".538","11","29",".379","9","14",".643","12","37","29","15","5","13","21","125.9","121.8","96.9",".342",".461",".698","51.9","73.8","10.3","4.8","",".671","19.4","28.6",".263","",".599","11.8","71.4",".099"
"35","35","2019-01-01","","NYK","W","115","108","44","95",".463","12","34",".353","15","23",".652","16","53","36","7","6","8","19","","42","93",".452","11","27",".407","13","18",".722","15","43","28","4","3","8","21","124.4","116.9","92.4",".242",".358",".547","55.2","81.8","7.6","9.1","",".526","7.1","36.4",".158","",".511","7.3","71.2",".140"
"36","36","2019-01-03","@","SAC","W","117","113","41","89",".461","14","39",".359","21","30",".700","16","54","24","3","3","14","20","","45","90",".500","13","31",".419","10","15",".667","7","33","25","5","3","8","23","121.9","117.7","96.0",".337",".438",".572","62.1","58.5","3.1","5.1","",".539","12.0","38.1",".236","",".572","7.6","84.4",".111"
"37","37","2019-01-05","","CHO","W","123","110","47","102",".461","14","39",".359","15","20",".750","17","46","30","10","6","7","19","","39","82",".476","11","29",".379","21","26",".808","12","47","22","7","4","17","18","127.0","113.6","96.8",".196",".382",".555","49.5","63.8","10.3","11.3","",".529","5.9","32.7",".147","",".543","15.4","70.7",".256"
"38","38","2019-01-07","@","HOU","L","113","125","44","93",".473","7","29",".241","18","21",".857","14","46","26","7","3","14","21","","38","76",".500","22","47",".468","27","34",".794","4","34","28","8","3","15","23","113.7","125.8","99.4",".226",".312",".553","57.5","59.1","7.0","10.3","",".511","12.0","31.8",".194","",".645","14.2","88.9",".355"
"39","39","2019-01-08","@","MIA","W","103","99","41","87",".471","9","27",".333","12","17",".706","15","50","32","2","2","16","20","","38","83",".458","8","31",".258","15","25",".600","9","38","24","9","8","6","18","113.1","108.7","91.1",".195",".310",".545","56.8","78.0","2.2","3.8","",".523","14.5","34.1",".138","",".506","6.0","79.5",".181"
"40","40","2019-01-10","","LAC","W","121","100","50","99",".505","11","28",".393","10","13",".769","15","53","29","7","8","9","23","","38","87",".437","6","24",".250","18","26",".692","8","38","21","4","6","12","16","123.5","102.0","98.0",".131",".283",".578","58.2","58.0","7.1","12.7","",".561","7.9","33.3",".101","",".471","10.9","82.6",".207"
"41","41","2019-01-12","@","PHO","L","93","102","34","88",".386","10","31",".323","15","22",".682","13","50","25","7","6","15","19","","38","92",".413","8","26",".308","18","25",".720","14","49","29","11","9","9","19","97.2","106.6","95.6",".250",".352",".476","50.5","73.5","7.3","9.1","",".443","13.3","27.1",".170","",".457","8.0","72.5",".196"
"42","42","2019-01-13","","POR","W","116","113","45","81",".556","9","22",".409","17","20",".850","4","35","21","5","0","11","20","","40","88",".455","12","34",".353","21","22",".955","8","39","25","5","1","9","22","121.6","118.4","95.4",".247",".272",".646","47.3","46.7","5.2","0.0","",".611","10.9","11.4",".210","",".523","8.4","79.5",".239"
"43","43","2019-01-15","","GSW","L","111","142","42","92",".457","14","34",".412","13","16",".813","9","36","30","4","3","8","12","","57","95",".600","21","39",".538","7","10",".700","12","50","38","6","4","10","20","115.2","147.4","96.3",".174",".370",".560","41.9","71.4","4.2","5.4","",".533","7.5","19.1",".141","",".711","9.1","69.2",".074"
"44","44","2019-01-17","","CHI","W","135","105","50","96",".521","20","40",".500","15","20",".750","13","45","34","6","2","7","16","","44","93",".473","10","28",".357","7","11",".636","16","45","27","3","3","12","21","143.9","111.9","93.8",".208",".417",".644","50.0","68.0","6.4","3.1","",".625","6.3","31.0",".156","",".527","10.9","66.7",".075"
"45","45","2019-01-19","","CLE","W","124","102","50","89",".562","15","37",".405","9","11",".818","12","43","33","7","2","11","25","","35","72",".486","10","29",".345","22","26",".846","5","28","20","5","1","12","15","138.6","114.0","89.5",".124",".416",".661","60.6","66.0","7.8","4.7","",".646","10.5","34.3",".101","",".556","12.6","86.1",".306"
"46","46","2019-01-23","@","UTA","L","108","114","42","88",".477","8","27",".296","16","20",".800","12","50","20","7","9","14","25","","38","88",".432","19","46",".413","19","27",".704","12","40","28","7","7","13","20","111.2","117.4","97.1",".227",".307",".558","55.6","47.6","7.2","21.4","",".523","12.6","30.0",".182","",".540","11.5","76.0",".216"
"47","47","2019-01-25","","PHO","W","132","95","47","94",".500","15","36",".417","23","29",".793","16","57","26","9","1","12","20","","32","76",".421","7","30",".233","24","26",".923","2","35","20","4","7","15","25","131.7","94.8","100.2",".309",".383",".618","62.0","55.3","9.0","2.2","",".580","10.1","32.7",".245","",".467","14.6","95.3",".316"
"48","48","2019-01-26","","PHI","W","126","110","48","94",".511","8","24",".333","22","29",".759","11","51","27","4","4","10","21","","38","91",".418","14","36",".389","20","27",".741","11","41","29","7","2","12","24","123.6","107.9","102.0",".309",".255",".590","55.4","56.3","3.9","7.3","",".553","8.6","26.8",".234","",".495","10.4","78.4",".220"
"49","49","2019-01-28","@","MEM","W","95","92","37","84",".440","8","36",".222","13","14",".929","9","37","17","10","2","15","18","","35","78",".449","9","32",".281","13","19",".684","9","42","26","5","7","19","22","101.5","98.3","93.6",".167",".429",".527","46.8","45.9","10.7","4.3","",".488","14.3","21.4",".155","",".506","18.0","75.7",".167"
"50","50","2019-01-30","@","NOP","W","105","99","42","89",".472","9","30",".300","12","19",".632","6","43","31","10","7","9","17","","37","89",".416","15","36",".417","10","13",".769","8","48","27","4","4","14","20","106.4","100.3","98.7",".213",".337",".539","47.3","73.8","10.1","13.2","",".522","8.5","13.0",".135","",".500","12.9","82.2",".112"
"51","51","2019-02-01","","HOU","W","136","122","51","82",".622","14","31",".452","20","23",".870","10","36","37","7","4","8","14","","45","85",".529","16","44",".364","16","21",".762","11","30","23","6","3","10","24","152.4","136.7","89.2",".280",".378",".738","54.5","72.5","7.8","9.8","",".707","8.0","34.5",".244","",".624","9.6","70.3",".188"
"52","52","2019-02-02","@","MIN","W","107","106","42","89",".472","13","33",".394","10","14",".714","15","48","29","3","7","10","16","","42","89",".472","11","34",".324","11","16",".688","8","41","27","6","4","8","15","117.3","116.2","91.2",".157",".371",".562","53.9","69.0","3.3","12.7","",".545","9.5","31.3",".112","",".534","7.7","80.5",".124"
"53","53","2019-02-04","@","DET","L","103","129","41","92",".446","9","28",".321","12","22",".545","10","32","28","10","3","13","19","","48","88",".545","16","37",".432","17","20",".850","16","53","32","8","8","20","20","102.9","128.9","100.1",".239",".304",".506","37.6","68.3","10.0","5.9","",".495","11.3","21.3",".130","",".636","17.1","57.9",".193"
"54","54","2019-02-06","@","BRK","L","130","135","50","99",".505","13","35",".371","17","21",".810","12","48","32","7","8","13","26","","46","90",".511","19","34",".559","24","33",".727","5","40","36","9","5","13","22","119.6","124.2","108.7",".212",".354",".601","54.5","64.0","6.4","14.3","",".571","10.7","25.5",".172","",".617","11.1","87.8",".267"
"55","55","2019-02-08","@","PHI","L","110","117","46","94",".489","6","26",".231","12","13",".923","8","40","35","5","3","12","19","","39","78",".500","10","22",".455","29","32",".906","7","42","23","7","5","17","12","108.9","115.9","101.0",".138",".277",".552","48.8","76.1","5.0","5.4","",".521","10.7","18.6",".128","",".564","15.6","82.1",".372"
"56","56","2019-02-11","","MIA","W","103","87","38","89",".427","16","37",".432","11","13",".846","10","45","27","7","6","15","17","","34","82",".415","9","33",".273","10","16",".625","7","47","23","10","5","16","16","106.1","89.6","97.1",".146",".416",".544","48.9","71.1","7.2","12.2","",".517","13.7","20.0",".124","",".470","15.2","83.3",".122"
"57","57","2019-02-13","","SAC","W","120","118","45","99",".455","8","31",".258","22","25",".880","14","53","26","7","1","13","19","","42","93",".452","11","32",".344","23","28",".821","10","44","30","12","1","12","23","114.2","112.3","105.1",".253",".313",".545","54.6","57.8","6.7","1.6","",".495","10.6","29.2",".222","",".511","10.2","79.6",".247"
"58","58","2019-02-22","@","DAL","W","114","104","42","103",".408","14","37",".378","16","25",".640","21","63","32","11","2","13","26","","34","84",".405","10","41",".244","26","33",".788","7","42","19","7","2","15","21","110.6","100.9","103.0",".243",".359",".500","60.0","76.2","10.7","4.7","",".476","10.2","37.5",".155","",".464","13.2","85.7",".310"
"59","59","2019-02-24","","LAC","W","123","96","44","85",".518","12","34",".353","23","35",".657","12","56","30","11","6","22","28","","30","87",".345","3","21",".143","33","37",".892","7","38","20","9","7","17","27","112.2","87.6","109.6",".412",".400",".613","59.6","68.2","10.0","9.1","",".588","18.0","27.9",".271","",".362","14.1","86.3",".379"
