"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"53","53","2019-01-31","@","SAS","L","114","117","42","89",".472","11","34",".324","19","29",".655","5","46","30","5","7","14","23","","40","100",".400","12","33",".364","25","29",".862","13","50","23","6","3","9","21","106.7","109.5","106.9",".326",".382",".560","47.9","71.4","4.7","10.4","",".534","12.1","11.9",".213","",".460","7.4","75.9",".250"
"54","54","2019-02-02","@","ORL","L","89","102","33","91",".363","10","38",".263","13","16",".813","8","50","23","6","2","18","11","","41","94",".436","10","27",".370","10","12",".833","7","49","25","11","8","14","17","84.7","97.1","105.1",".176",".418",".454","50.5","69.7","5.7","3.0","",".418","15.5","16.0",".143","",".489","12.4","85.7",".106"
"55","55","2019-02-04","","MIL","L","94","113","33","102",".324","5","42",".119","23","28",".821","16","56","23","5","9","13","21","","43","101",".426","10","39",".256","17","25",".680","15","59","29","9","7","9","20","89.7","107.8","104.8",".275",".412",".411","48.7","69.7","4.8","14.5","",".348","10.2","26.7",".225","",".475","7.4","72.7",".168"
"56","56","2019-02-06","","DEN","W","135","130","46","90",".511","19","34",".559","24","33",".727","5","40","36","9","5","13","22","","50","99",".505","13","35",".371","17","21",".810","12","48","32","7","8","13","26","124.2","119.6","108.7",".367",".378",".646","45.5","78.3","8.3","7.8","",".617","11.1","12.2",".267","",".571","10.7","74.5",".172"
"57","57","2019-02-08","","CHI","L","106","125","39","94",".415","13","41",".317","15","16",".938","6","33","26","9","1","11","21","","46","85",".541","14","28",".500","19","24",".792","8","50","27","5","5","16","21","103.4","121.9","102.6",".170",".436",".525","39.8","66.7","8.8","1.8","",".484","9.8","12.5",".160","",".624","14.3","77.1",".224"
"58","58","2019-02-11","@","TOR","L","125","127","46","88",".523","20","41",".488","13","18",".722","5","31","33","6","3","14","18","","50","92",".543","9","31",".290","18","20",".900","5","40","32","12","3","13","16","119.4","121.3","104.7",".205",".466",".652","43.7","71.7","5.7","4.9","",".636","12.7","12.5",".148","",".592","11.4","83.9",".196"
"59","59","2019-02-13","@","CLE","W","148","139","52","113",".460","18","45",".400","26","34",".765","16","60","31","4","13","18","23","","54","120",".450","18","42",".429","13","18",".722","18","57","35","7","4","15","37","119.7","112.4","94.2",".301",".398",".578","51.3","59.6","3.2","16.7","",".540","12.3","29.1",".230","",".525","10.5","71.0",".108"
"60","60","2019-02-21","","POR","L","99","113","36","92",".391","7","36",".194","20","26",".769","12","49","26","4","2","12","19","","46","105",".438","7","32",".219","14","16",".875","19","60","19","7","9","13","21","97.1","110.9","101.9",".283",".391",".479","45.0","72.2","3.9","2.7","",".429","10.4","22.6",".217","",".471","10.4","66.1",".133"
"61","61","2019-02-23","@","CHO","W","117","115","40","87",".460","17","43",".395","20","26",".769","11","42","23","5","6","12","26","","39","86",".453","12","35",".343","25","30",".833","12","42","15","4","5","12","23","122.0","119.9","95.9",".299",".494",".594","50.0","57.5","5.2","11.8","",".557","10.9","26.8",".230","",".523","10.8","72.1",".291"
"62","62","2019-02-25","","SAS","W","101","85","35","81",".432","19","50",".380","12","16",".750","6","51","24","5","5","15","15","","35","96",".365","4","24",".167","11","12",".917","10","47","14","6","6","11","13","103.3","87.0","97.7",".198",".617",".574","52.0","68.6","5.1","6.9","",".549","14.6","14.0",".148","",".385","9.8","81.8",".115"
"63","63","2019-02-27","","WAS","L","116","125","39","85",".459","8","35",".229","30","39",".769","7","41","20","7","3","16","27","","44","96",".458","11","37",".297","26","31",".839","17","57","34","10","4","17","30","107.3","115.7","108.1",".459",".412",".568","41.8","51.3","6.5","5.1","",".506","13.5","14.9",".353","",".516","13.4","66.7",".271"
"64","64","2019-03-01","","CHO","L","112","123","44","86",".512","10","32",".313","14","18",".778","7","37","27","2","5","15","19","","50","94",".532","9","21",".429","14","17",".824","10","40","24","6","4","13","25","111.0","121.9","100.9",".209",".372",".596","48.1","61.4","2.0","6.8","",".570","13.8","18.9",".163","",".580","11.4","75.0",".149"
"65","65","2019-03-02","@","MIA","L","88","117","31","88",".352","9","42",".214","17","22",".773","7","36","20","6","6","11","14","","44","90",".489","14","34",".412","15","22",".682","11","57","36","5","9","11","19","89.8","119.4","98.0",".250",".477",".450","38.7","64.5","6.1","10.7","",".403","10.1","13.2",".193","",".567","9.9","72.5",".167"
"66","66","2019-03-04","","DAL","W","127","88","48","85",".565","17","41",".415","14","19",".737","3","48","29","8","1","13","23","","31","87",".356","12","45",".267","14","22",".636","5","36","20","4","3","13","19","124.0","85.9","102.5",".224",".482",".680","57.1","60.4","7.8","2.4","",".665","12.2","8.8",".165","",".425","11.9","90.0",".161"
"67","67","2019-03-06","","CLE","W","113","107","43","91",".473","12","33",".364","15","26",".577","11","50","21","5","7","14","22","","35","87",".402","16","38",".421","21","29",".724","11","47","23","7","3","17","22","109.3","103.5","103.4",".286",".363",".552","51.5","48.8","4.8","14.3","",".538","12.0","23.4",".165","",".494","14.6","78.0",".241"
"68","68","2019-03-09","@","ATL","W","114","112","33","86",".384","15","44",".341","33","54",".611","15","54","21","7","3","14","23","","39","105",".371","8","41",".195","26","32",".813","18","57","22","7","2","10","37","107.9","106.0","105.7",".628",".512",".519","48.6","63.6","6.6","4.7","",".471","11.3","27.8",".384","",".410","7.7","68.4",".248"
"69","69","2019-03-11","","DET","W","103","75","39","79",".494","11","31",".355","14","22",".636","5","53","21","9","4","17","18","","27","97",".278","8","34",".235","13","16",".813","17","49","16","7","3","12","22","105.7","77.0","97.4",".278",".392",".581","52.0","53.8","9.2","6.3","",".563","16.1","13.5",".177","",".320","10.3","73.8",".134"
"70","70","2019-03-13","@","OKC","L","96","108","35","84",".417","13","35",".371","13","19",".684","7","43","19","7","5","16","18","","41","96",".427","11","28",".393","15","19",".789","16","51","21","9","6","11","20","98.3","110.6","97.7",".226",".417",".520","45.7","54.3","7.2","7.4","",".494","14.8","16.7",".155","",".484","9.5","69.2",".156"
"71","71","2019-03-16","@","UTA","L","98","114","33","95",".347","12","36",".333","20","22",".909","8","44","20","9","5","7","24","","39","91",".429","13","36",".361","23","31",".742","15","65","24","3","7","15","21","96.2","111.9","101.8",".232",".379",".468","40.4","60.6","8.8","9.1","",".411","6.3","13.8",".211","",".500","12.5","70.6",".253"
"72","72","2019-03-17","@","LAC","L","116","119","42","100",".420","14","38",".368","18","25",".720","15","51","26","6","7","14","28","","42","97",".433","12","31",".387","23","28",".821","16","54","26","8","6","13","25","110.7","113.6","104.8",".250",".380",".523","48.6","61.9","5.7","10.6","",".490","11.2","28.3",".180","",".495","10.6","69.2",".237"
"73","73","2019-03-19","@","SAC","W","123","121","47","94",".500","12","35",".343","17","23",".739","11","41","28","16","4","18","19","","49","95",".516","9","25",".360","14","20",".700","14","46","25","13","1","20","19","114.1","112.2","107.8",".245",".372",".591","47.1","59.6","14.8","5.7","",".564","14.7","25.6",".181","",".563","16.2","68.2",".147"
"74","74","2019-03-22","@","LAL","W","111","106","37","92",".402","16","42",".381","21","28",".750","11","47","21","8","4","13","25","","37","96",".385","9","36",".250","23","32",".719","19","59","21","8","9","16","26","107.5","102.7","103.2",".304",".457",".532","44.3","56.8","7.7","6.7","",".489","11.1","21.6",".228","",".432","12.7","65.5",".240"
"75","75","2019-03-25","@","POR","L","144","148","49","103",".476","15","42",".357","31","44",".705","15","59","25","3","4","16","31","","53","121",".438","14","45",".311","28","36",".778","16","55","35","9","5","3","30","120.2","123.6","99.1",".427",".408",".588","51.8","51.0","2.5","5.3","",".549","11.6","27.8",".301","",".496","2.1","73.3",".231"
"76","76","2019-03-28","@","PHI","L","110","123","40","90",".444","11","32",".344","19","29",".655","11","45","25","4","3","15","22","","45","90",".500","12","25",".480","21","28",".750","9","45","27","10","3","9","23","107.7","120.5","102.1",".322",".356",".535","50.0","62.5","3.9","4.6","",".506","12.7","23.4",".211","",".567","8.1","79.1",".233"
"77","77","2019-03-30","","BOS","W","110","96","38","83",".458","12","38",".316","22","28",".786","5","40","22","7","2","12","17","","35","83",".422","8","20",".400","18","23",".783","7","39","19","8","7","15","25","110.9","96.8","99.2",".337",".458",".577","50.6","57.9","7.1","3.2","",".530","11.2","13.5",".265","",".470","13.9","83.3",".217"
